,id,name,description,State,StateCode,CityCodeSmall,CityName,Population2020,EducationCouncilExists,NurseTechnicians,Nurses,CommunityHealthAgents,Physicians
0,4300034,Aceguá,Aceguá,RS,43,34,Aceguá,"4,942",Sim,1.0,1.0,11.0,1.0
1,4300059,Água Santa,Água Santa,RS,43,59,Água Santa,"3,743",Sim,1.0,1.0,10.0,1.0
2,4300109,Agudo,Agudo,RS,43,109,Agudo,"16,401",Sim,2.0,2.0,6.0,2.0
3,4300208,Ajuricaba,Ajuricaba,RS,43,208,Ajuricaba,"6,987",Sim,3.0,3.0,16.0,3.0
4,4300307,Alecrim,Alecrim,RS,43,307,Alecrim,"5,827",Sim,3.0,3.0,17.0,3.0
5,4300406,Alegrete,Alegrete,RS,43,406,Alegrete,"73,028",Sim,106.0,21.0,69.0,20.0
6,4300455,Alegria,Alegria,RS,43,455,Alegria,"3,374",Sim,4.0,1.0,12.0,2.0
7,4300471,Almirante Tamandaré do Sul,Almirante Tamandaré do Sul,RS,43,471,Almirante Tamandaré do Sul,"1,949",Sim,1.0,1.0,5.0,1.0
8,4300505,Alpestre,Alpestre,RS,43,505,Alpestre,"6,067",Sim,6.0,7.0,23.0,4.0
9,4300554,Alto Alegre,Alto Alegre,RS,43,554,Alto Alegre,"1,613",Sim,2.0,1.0,5.0,1.0
10,4300570,Alto Feliz,Alto Feliz,RS,43,570,Alto Feliz,"3,036",Sim,2.0,1.0,8.0,1.0
11,4300604,Alvorada,Alvorada,RS,43,604,Alvorada,"211,352",Sim,156.0,61.0,138.0,30.0
12,4300638,Amaral Ferrador,Amaral Ferrador,RS,43,638,Amaral Ferrador,"7,085",Sim,0.0,0.0,0.0,0.0
13,4300646,Ametista do Sul,Ametista do Sul,RS,43,646,Ametista do Sul,"7,403",Sim,,,,
14,4300661,André da Rocha,André da Rocha,RS,43,661,André da Rocha,"1,343",Sim,1.0,1.0,3.0,1.0
15,4300703,Anta Gorda,Anta Gorda,RS,43,703,Anta Gorda,"5,961",Sim,2.0,2.0,12.0,2.0
16,4300802,Antônio Prado,Antônio Prado,RS,43,802,Antônio Prado,"13,045",Sim,10.0,5.0,17.0,5.0
17,4300851,Arambaré,Arambaré,RS,43,851,Arambaré,"3,562",Sim,4.0,2.0,5.0,2.0
18,4300877,Araricá,Araricá,RS,43,877,Araricá,"5,771",Sim,3.0,3.0,12.0,2.0
19,4300901,Aratiba,Aratiba,RS,43,901,Aratiba,"6,189",Sim,2.0,2.0,13.0,2.0
20,4301008,Arroio do Meio,Arroio do Meio,RS,43,1008,Arroio do Meio,"20,967",Sim,5.0,5.0,22.0,4.0
21,4301057,Arroio do Sal,Arroio do Sal,RS,43,1057,Arroio do Sal,"10,279",Sim,8.0,4.0,19.0,6.0
22,4301073,Arroio do Padre,Arroio do Padre,RS,43,1073,Arroio do Padre,"2,951",Sim,0.0,1.0,6.0,1.0
23,4301107,Arroio dos Ratos,Arroio dos Ratos,RS,43,1107,Arroio dos Ratos,"14,177",Sim,8.0,4.0,22.0,4.0
24,4301206,Arroio do Tigre,Arroio do Tigre,RS,43,1206,Arroio do Tigre,"13,413",Sim,9.0,3.0,29.0,3.0
25,4301305,Arroio Grande,Arroio Grande,RS,43,1305,Arroio Grande,"18,238",Sim,3.0,3.0,15.0,3.0
26,4301404,Arvorezinha,Arvorezinha,RS,43,1404,Arvorezinha,"10,423",Sim,4.0,3.0,27.0,3.0
27,4301503,Augusto Pestana,Augusto Pestana,RS,43,1503,Augusto Pestana,"6,602",Sim,2.0,2.0,14.0,2.0
28,4301552,Áurea,Áurea,RS,43,1552,Áurea,"3,535",Sim,4.0,2.0,9.0,2.0
29,4301602,Bagé,Bagé,RS,43,1602,Bagé,"121,335",Sim,25.0,25.0,131.0,25.0
30,4301636,Balneário Pinhal,Balneário Pinhal,RS,43,1636,Balneário Pinhal,"14,363",Sim,7.0,3.0,22.0,4.0
31,4301651,Barão,Barão,RS,43,1651,Barão,"6,202",Sim,3.0,3.0,13.0,4.0
32,4301701,Barão de Cotegipe,Barão de Cotegipe,RS,43,1701,Barão de Cotegipe,"6,620",Sim,3.0,3.0,12.0,3.0
33,4301750,Barão do Triunfo,Barão do Triunfo,RS,43,1750,Barão do Triunfo,"7,519",Sim,1.0,1.0,4.0,1.0
34,4301800,Barracão,Barracão,RS,43,1800,Barracão,"5,256",Sim,4.0,2.0,12.0,0.0
35,4301859,Barra do Guarita,Barra do Guarita,RS,43,1859,Barra do Guarita,"3,257",Sim,5.0,2.0,8.0,2.0
36,4301875,Barra do Quaraí,Barra do Quaraí,RS,43,1875,Barra do Quaraí,"4,227",Sim,2.0,1.0,18.0,2.0
37,4301909,Barra do Ribeiro,Barra do Ribeiro,RS,43,1909,Barra do Ribeiro,"13,556",Sim,7.0,3.0,12.0,3.0
38,4301925,Barra do Rio Azul,Barra do Rio Azul,RS,43,1925,Barra do Rio Azul,"1,655",Sim,2.0,1.0,6.0,1.0
39,4301958,Barra Funda,Barra Funda,RS,43,1958,Barra Funda,"2,551",Sim,1.0,2.0,6.0,1.0
40,4302006,Barros Cassal,Barros Cassal,RS,43,2006,Barros Cassal,"11,182",Sim,0.0,3.0,28.0,3.0
41,4302055,Benjamin Constant do Sul,Benjamin Constant do Sul,RS,43,2055,Benjamin Constant do Sul,"1,958",Sim,1.0,1.0,5.0,1.0
42,4302105,Bento Gonçalves,Bento Gonçalves,RS,43,2105,Bento Gonçalves,"121,803",Sim,27.0,14.0,74.0,14.0
43,4302154,Boa Vista das Missões,Boa Vista das Missões,RS,43,2154,Boa Vista das Missões,"2,092",Sim,1.0,1.0,5.0,1.0
44,4302204,Boa Vista do Buricá,Boa Vista do Buricá,RS,43,2204,Boa Vista do Buricá,"6,712",Sim,4.0,3.0,16.0,4.0
45,4302220,Boa Vista do Cadeado,Boa Vista do Cadeado,RS,43,2220,Boa Vista do Cadeado,"2,468",Sim,1.0,1.0,7.0,1.0
46,4302238,Boa Vista do Incra,Boa Vista do Incra,RS,43,2238,Boa Vista do Incra,"2,616",Sim,1.0,1.0,6.0,1.0
47,4302253,Boa Vista do Sul,Boa Vista do Sul,RS,43,2253,Boa Vista do Sul,"2,778",Sim,,,,
48,4302303,Bom Jesus,Bom Jesus,RS,43,2303,Bom Jesus,"11,309",Sim,7.0,6.0,12.0,9.0
49,4302352,Bom Princípio,Bom Princípio,RS,43,2352,Bom Princípio,"14,255",Sim,8.0,4.0,24.0,4.0
50,4302378,Bom Progresso,Bom Progresso,RS,43,2378,Bom Progresso,"1,899",Sim,4.0,1.0,7.0,0.0
51,4302402,Bom Retiro do Sul,Bom Retiro do Sul,RS,43,2402,Bom Retiro do Sul,"12,390",Sim,2.0,2.0,10.0,2.0
52,4302451,Boqueirão do Leão,Boqueirão do Leão,RS,43,2451,Boqueirão do Leão,"7,702",Sim,2.0,2.0,18.0,2.0
53,4302501,Bossoroca,Bossoroca,RS,43,2501,Bossoroca,"6,205",Sim,7.0,3.0,18.0,3.0
54,4302584,Bozano,Bozano,RS,43,2584,Bozano,"2,111",Sim,3.0,2.0,6.0,4.0
55,4302600,Braga,Braga,RS,43,2600,Braga,"3,311",Sim,5.0,2.0,8.0,2.0
56,4302659,Brochier,Brochier,RS,43,2659,Brochier,"5,104",Sim,2.0,1.0,8.0,1.0
57,4302709,Butiá,Butiá,RS,43,2709,Butiá,"20,952",Sim,0.0,6.0,34.0,6.0
58,4302808,Caçapava do Sul,Caçapava do Sul,RS,43,2808,Caçapava do Sul,"33,548",Sim,13.0,5.0,48.0,5.0
59,4302907,Cacequi,Cacequi,RS,43,2907,Cacequi,"12,423",Sim,10.0,6.0,28.0,5.0
60,4303004,Cachoeira do Sul,Cachoeira do Sul,RS,43,3004,Cachoeira do Sul,"81,869",Sim,10.0,11.0,76.0,8.0
61,4303103,Cachoeirinha,Cachoeirinha,RS,43,3103,Cachoeirinha,"131,240",Sim,30.0,15.0,63.0,15.0
62,4303202,Cacique Doble,Cacique Doble,RS,43,3202,Cacique Doble,"5,074",Sim,1.0,1.0,12.0,1.0
63,4303301,Caibaté,Caibaté,RS,43,3301,Caibaté,"4,823",Sim,6.0,2.0,13.0,2.0
64,4303400,Caiçara,Caiçara,RS,43,3400,Caiçara,"4,700",Sim,4.0,4.0,13.0,2.0
65,4303509,Camaquã,Camaquã,RS,43,3509,Camaquã,"66,478",Sim,7.0,7.0,28.0,7.0
66,4303558,Camargo,Camargo,RS,43,3558,Camargo,"2,742",Sim,1.0,1.0,6.0,1.0
67,4303608,Cambará do Sul,Cambará do Sul,RS,43,3608,Cambará do Sul,"6,406",Sim,6.0,44.0,16.0,3.0
68,4303673,Campestre da Serra,Campestre da Serra,RS,43,3673,Campestre da Serra,"3,395",Sim,1.0,1.0,8.0,1.0
69,4303707,Campina das Missões,Campina das Missões,RS,43,3707,Campina das Missões,"5,398",Sim,2.0,2.0,10.0,2.0
70,4303806,Campinas do Sul,Campinas do Sul,RS,43,3806,Campinas do Sul,"5,438",Sim,2.0,2.0,13.0,3.0
71,4303905,Campo Bom,Campo Bom,RS,43,3905,Campo Bom,"69,458",Sim,30.0,15.0,84.0,15.0
72,4304002,Campo Novo,Campo Novo,RS,43,4002,Campo Novo,"4,376",Sim,3.0,2.0,14.0,3.0
73,4304101,Campos Borges,Campos Borges,RS,43,4101,Campos Borges,"3,295",Sim,2.0,2.0,10.0,2.0
74,4304200,Candelária,Candelária,RS,43,4200,Candelária,"31,421",Sim,3.0,3.0,11.0,3.0
75,4304309,Cândido Godói,Cândido Godói,RS,43,4309,Cândido Godói,"6,151",Sim,3.0,2.0,17.0,1.0
76,4304358,Candiota,Candiota,RS,43,4358,Candiota,"9,647",Sim,10.0,4.0,19.0,5.0
77,4304408,Canela,Canela,RS,43,4408,Canela,"45,488",Sim,14.0,6.0,26.0,6.0
78,4304507,Canguçu,Canguçu,RS,43,4507,Canguçu,"56,211",Sim,7.0,5.0,29.0,5.0
