geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
79750,-22.242062424214726,-53.34315944664074,nova andradina,RS
90010,-30.03215040714993,-51.2325516998384,porto alegre,RS
90050,-30.036636963096477,-51.22367993104038,porto alegre,RS
90050,-30.04272571106246,-51.23110801234925,porto alegre,RS
90030,-30.024860070777287,-51.22343202221699,porto alegre,RS
90035,-30.02933889702238,-51.21207766403136,porto alegre,RS
90010,-30.030903771063922,-51.22427127063822,porto alegre,RS
90050,-30.031685644180317,-51.22017602873788,porto alegre,RS
90040,-30.04307239410819,-51.21141662640671,porto alegre,RS
90040,-30.040696141554577,-51.216917326822006,porto alegre,RS
90030,-30.024613612556905,-51.22196181251086,porto alegre,RS
90010,-30.035979587281485,-51.23135054079867,porto alegre,RS
90050,-30.035117506351966,-51.2221628690026,porto alegre,RS
90010,-30.03670956174625,-51.23218795989382,porto alegre,RS
90035,-30.032820670552248,-51.20844322413284,porto alegre,RS
90010,-30.03042569663574,-51.22984784471118,porto alegre,RS
90020,-30.02996719492721,-51.228574749474795,porto alegre,RS
90020,-30.032197385250047,-51.23633299471989,porto alegre,RS
90010,-30.034230076605674,-51.232502243118546,porto alegre,RS
90035,-30.030335717179298,-51.21081569859762,porto alegre,RS
90040,-30.043055943937894,-51.209673520832034,porto alegre,RS
90040,-30.036441110293865,-51.22022296078427,porto alegre,RS
90050,-30.036150367187997,-51.223055861099795,porto alegre,RS
90010,-30.030879510675806,-51.225330714265105,porto alegre,RS
90010,-30.029320310358766,-51.23030050938032,porto alegre,RS
90050,-30.044716126918768,-51.216694951724214,porto alegre,RS
90020,-30.029788561746248,-51.227105369553925,porto alegre,RS
90035,-30.027009206763292,-51.21004797530151,porto alegre,RS
90010,-30.034072026920203,-51.23822291090083,porto alegre,RS
90020,-30.031067651393666,-51.23326918013154,porto alegre,RS
90040,-30.046806252005357,-51.20875623576096,porto alegre,RS
90010,-30.038128344711186,-51.232972472675755,porto alegre,RS
90035,-30.03195005123785,-51.22214244876214,porto alegre,RS
90050,-30.03502664401356,-51.22372238640814,porto alegre,RS
90010,-30.034999509290827,-51.23884065168212,porto alegre,RS
90035,-30.03262398084141,-51.21841647224307,porto alegre,RS
90020,-30.03024333888281,-51.22772922049752,porto alegre,RS
90010,-30.03387463474525,-51.236723588666436,porto alegre,RS
90020,-30.029986647727775,-51.230202388636656,porto alegre,RS
90010,-30.03737748903573,-51.22852696073056,porto alegre,RS
90020,-30.032215407438393,-51.22791569859762,porto alegre,RS
90010,-30.031067398291796,-51.22454431418429,porto alegre,RS
90035,-30.030650717179302,-51.21083369859763,porto alegre,RS
90040,-30.038037506520872,-51.208899706070795,porto alegre,RS
90010,-30.036174463788964,-51.22960999417162,porto alegre,RS
90020,-30.029325411881796,-51.2233724171619,porto alegre,RS
90050,-30.039933195943245,-51.22629218497896,porto alegre,RS
90050,-30.040835092417367,-51.22214935108783,porto alegre,RS
90010,-30.02759109409081,-51.229187915632714,porto alegre,RS
90035,-30.031839481822363,-51.21521191796999,porto alegre,RS
90040,-30.043554161521214,-51.213044765479786,porto alegre,RS
90050,-30.03861874438796,-51.22111835734891,porto alegre,RS
90010,-30.02932459642808,-51.23345297253153,porto alegre,RS
90050,-30.037148727999345,-51.22370958702169,porto alegre,RS
90035,-30.03495264363205,-51.2084131952794,porto alegre,RS
90010,-30.03612848932419,-51.228602884817356,porto alegre,RS
90010,-30.03505147489746,-51.2300922171793,porto alegre,RS
90030,-30.027964568959607,-51.22032403719197,porto alegre,RS
90010,-30.03154949235395,-51.22652374854289,porto alegre,RS
90010,-30.03345527087548,-51.22641476839397,porto alegre,RS
90020,-30.030439431040378,-51.224494562727216,porto alegre,RS
90040,-30.04090934416293,-51.21575576227715,porto alegre,RS
90040,-30.039905378844754,-51.214385676524856,porto alegre,RS
90035,-30.033018503462447,-51.21239399999999,porto alegre,RS
90020,-30.03054316654155,-51.231611824167615,porto alegre,RS
90035,-30.031558910352587,-51.208408268653784,porto alegre,RS
90010,-30.03737938386507,-51.2358835911766,porto alegre,RS
90050,-30.037924204281786,-51.223453479889116,porto alegre,RS
90010,-30.029205646402012,-51.2341320972648,porto alegre,RS
90020,-30.03021576832865,-51.22571683800528,porto alegre,RS
90020,-30.030181627531878,-51.2247631475272,porto alegre,RS
90040,-30.037013097985955,-51.20918318552722,porto alegre,RS
90010,-30.032904803768286,-51.225569161261426,porto alegre,RS
90018,-30.029482550926215,-51.232415679698846,porto alegre,RS
90050,-30.044778601708213,-51.22156040590917,porto alegre,RS
90030,-30.027839405505148,-51.21773013044609,porto alegre,RS
90020,-30.031965000000003,-51.22483199999999,porto alegre,RS
90035,-30.031322919787645,-51.212274688470096,porto alegre,RS
90050,-30.03958277240469,-51.2219870985342,porto alegre,RS
90010,-30.035545892071017,-51.23439295383717,porto alegre,RS
90050,-30.045818158203,-51.2236321039299,porto alegre,RS
90022,-31.7799196062727,-52.34106626422659,porto alegre,RS
90040,-30.033198250908843,-51.222686243002975,porto alegre,RS
90050,-30.037279682775306,-51.225869792061154,porto alegre,RS
90040,-30.04256267222569,-51.212945965577966,porto alegre,RS
90010,-30.03353353621103,-51.22844946572221,porto alegre,RS
90050,-30.037870204281784,-51.223493979889135,porto alegre,RS
90020,-30.037047034970282,-51.22825294714053,porto alegre,RS
90035,-30.03230087148716,-51.21993805897629,porto alegre,RS
90020,-30.032464568959607,-51.22830941035257,porto alegre,RS
90050,-30.039467585059786,-51.22479712559864,porto alegre,RS
90010,-30.02882415736628,-51.232704449477794,porto alegre,RS
90010,-30.029564912574287,-51.228682228432035,porto alegre,RS
90035,-30.031960306134227,-51.21231987370887,porto alegre,RS
90035,-30.028457441571966,-51.20861173798267,porto alegre,RS
90050,-30.03658583568016,-51.225575158635685,porto alegre,RS
90030,-30.02586214947739,-51.22461270430829,porto alegre,RS
90010,-30.034936509290837,-51.238659593398324,porto alegre,RS
90010,-30.030579671100515,-51.228748786427396,porto alegre,RS
90020,-30.030465594494853,-51.22344037898898,porto alegre,RS
90050,-30.040628059957253,-51.2235557082925,porto alegre,RS
90050,-30.03852980267177,-51.22123879906509,porto alegre,RS
90010,-30.03072199065236,-51.23483794181518,porto alegre,RS
90035,-30.028464754371285,-51.215111705810976,porto alegre,RS
90010,-30.03333448600597,-51.231973059813,porto alegre,RS
90040,-30.037667574239734,-51.209847917421705,porto alegre,RS
90010,-30.033660845951943,-51.22731864570952,porto alegre,RS
