order_id,payment_sequential,payment_type,payment_installments,payment_value
b2349a3f20dfbeef62e7b31baa22f84b,1,credit_card,3,136.71
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41
460d57443ffdcaeba240360239747cf7,1,credit_card,1,34.0
4cb51127f19f7254b320efe1718477dd,1,boleto,1,77.1
85a4fbdba48c815924115fb82330071c,1,credit_card,3,34.09
9184724aacd6a7da5bcf4c08c2c674a8,1,credit_card,3,57.53
49d3db2a02106c24d6ef800bd8ad5546,1,boleto,1,90.17
4a4ed9ed7922304a569ed850baba99c6,1,credit_card,3,33.13
591083bc42b589c7052118aa83118e76,5,voucher,1,20.0
e1b6234c322ab01a32771bf57c597043,1,credit_card,8,156.09
068176c8a0550b07cddf7e05c8d55319,1,boleto,1,123.82
27a7ac440630f9de788e4d66e72c6424,1,credit_card,1,186.39
f553b61e2a7f6dc62c5f8de4ffb4a031,1,debit_card,1,194.91
210a5f61a6a19892f81bb269863f4742,1,credit_card,1,67.5
aeb81ccabe4f164a26e763cd5b07fd99,1,boleto,1,70.89
621b8e90f6fd06a792af8bdbbaf64a92,2,voucher,1,72.42
9027f38fa8afb91a7ad77fd92abf97a1,1,credit_card,5,477.45
e199c3b74cd391568e7c99aa28b0f274,1,boleto,1,168.51
dd691e4f12c592067339680ffc3dd443,1,credit_card,3,35.0
7246a71d326111872bfdfd34f495dc4f,1,credit_card,5,117.53
0bdb173bda4bf7e4109fe707c309252a,1,credit_card,10,132.95
386a7bf9de133efa1516c4145330f3a6,1,boleto,1,90.62
45da19cff07c4148ba32b1a6bb8d87c1,1,boleto,1,126.68
b9a8d194c52bcb022997d990bd402f7e,1,boleto,1,368.6
35d75af8e37e575e033ae1a48c1236ed,1,credit_card,10,202.44
604b550c04e61700ab7bcb2ac5b5ca53,1,boleto,1,710.23
d73f657ce49ec301ac81116e74bd0571,1,credit_card,3,65.1
3d40c6056f68e49782a7c576c8b57e3d,1,credit_card,5,205.43
6519cf54b544974af32f148f9087f86c,1,credit_card,2,80.81
6c949e670b5d33dc8fb8ad25b6da4860,1,credit_card,10,102.47
d3454c86a9d5b5a519364756eea7e275,1,debit_card,1,149.14
6d0da5add693d625079fa8fdf40967d6,1,boleto,1,19.48
68986e4324f6a21481df4e6e89abcf01,5,voucher,1,16.54
e1edd95bfd88243a6d6b774d8aefe535,1,credit_card,4,181.59
d022bdad33a575ca5edb8c4d51e44310,1,boleto,1,70.03
6e60346a3ee3876c1e4bc89c597ffcb8,1,credit_card,2,123.59
64c9c64b12678438c07b5ec6cc785976,1,credit_card,1,33.1
1d50a1ce4cf6a22155891f66fb4117b0,1,boleto,1,66.64
97d27b60de1ffde7559bfe762230851a,1,credit_card,3,109.93
2adb88df15a33d97f2990e59b1745820,1,credit_card,1,27.48
7cb67275a494651008ed5b1f0353ddce,1,boleto,1,88.54
938b81c296794bf21f608257efd9aae9,1,boleto,1,68.12
b11a2fc0664cad475e2700523625a1e6,1,credit_card,2,71.13
7aad0379bac4fe5dcb0a97650eaf957d,1,boleto,1,51.01
d949922726bdc62d5829069a73cc15ca,1,credit_card,5,116.97
a0fd703a1c6a122520246bd8d481e528,1,credit_card,1,2.35
9b8254228cafa6a7e497fc21d7268c05,1,boleto,1,37.79
603d99954d45262efae58a9827c7f02a,1,boleto,1,35.09
d7902cb5d7fd1f143aff7375644c6d7a,1,credit_card,2,65.05
80d9c03bcaef317e3d2ad8d6fe48538d,1,credit_card,3,151.83
935e2b59d8831e7e158e0a2bbf8f91c3,1,credit_card,3,37.09
ee491eb103d02acce80f7c5950def51d,1,credit_card,1,14.0
229e63c6692ae32cdc9c4ba2851efba6,1,credit_card,4,47.23
42e8aa987fc0b5e8e6ab1eced3eadd1d,1,credit_card,1,196.01
7ac78cb9b8592cea74cb5b1c3df6f84c,1,boleto,1,205.0
553901a853048dcd33ec8de19f90c5d0,1,credit_card,3,73.25
aa168056de685bc1be4c86543a14a845,1,credit_card,1,54.1
e0ba11a8f559fa965f2e848bf086d197,1,boleto,1,65.01
d92888ccf9b2ae4399868e099fadf925,1,boleto,1,41.09
a2774eabce91067c32cfb2813ac902ad,1,credit_card,1,430.28
a2612baf139a2d944224cb87c81d83b1,1,credit_card,4,214.69
fefc60b6174117cb96cd5eeaec4188b5,1,credit_card,1,202.15
d00e79f339bb76a1b6dbcc8cb41934e7,1,credit_card,10,113.44
be7a773222d5a7d8b12e75ed2320037a,1,credit_card,1,53.1
873d039c319333bd488dbf6b66d602c9,1,credit_card,1,98.25
8a37cae0305cc1e69d6f5d0629719e9a,1,credit_card,2,73.27
b1055ce3474985fb91548bf69ace69a0,1,credit_card,5,71.14
9f363e28be707432b8173ded00f855f2,1,credit_card,1,54.09
6049ab061f1a014ee71d10cf04e045ef,1,credit_card,2,53.6
518fcf931a950e2fdd0c4de17b5ed862,1,credit_card,8,175.63
e16532416e7fa0b226f67cb0a05696c2,1,credit_card,10,1082.51
