Country,variable,value
Austria,2018,
Belgium,2018,9.37
Bulgaria,2018,
Croatia,2018,9
Cyprus,2018,
Czechia,2018,7
Denmark,2018,
Estonia,2018,
Finland,2018,
France,2018,
Germany,2018,10.2
Greece,2018,19
Hungary,2018,8.7
Ireland,2018,20
Italy,2018,9.06
Latvia,2018,
Lithuania,2018,9.5
Luxembourg,2018,11.11
Malta,2018,15
Netherlands,2018,4.39
Norway,2018,
Poland,2018,
Portugal,2018,6.14
Romania,2018,
Slovakia,2018,10
Slovenia,2018,
Spain,2018,5.22
Sweden,2018,12
Turkey,2018,
United Kingdom,2018,
Austria,2017,
Belgium,2017,8.9
Bulgaria,2017,
Croatia,2017,12.2
Cyprus,2017,
Czechia,2017,6.15188264
Denmark,2017,
Estonia,2017,22
Finland,2017,
France,2017,
Germany,2017,10
Greece,2017,19
Hungary,2017,8.2
Ireland,2017,20
Italy,2017,9.85
Latvia,2017,
Lithuania,2017,13
Luxembourg,2017,10.604
Malta,2017,19.75
Netherlands,2017,4.04
Norway,2017,16.19
Poland,2017,
Portugal,2017,6.91
Romania,2017,
Slovakia,2017,10
Slovenia,2017,0
Spain,2017,5.16
Sweden,2017,12
Turkey,2017,
United Kingdom,2017,
Austria,2016,
Belgium,2016,8.7
Bulgaria,2016,
Croatia,2016,12.2
Cyprus,2016,
Czechia,2016,6.51
Denmark,2016,
Estonia,2016,20
Finland,2016,
France,2016,
Germany,2016,10
Greece,2016,19
Hungary,2016,7.8
Ireland,2016,20
Italy,2016,8.2
Latvia,2016,
Lithuania,2016,10
Luxembourg,2016,10.93
Malta,2016,21
Netherlands,2016,4.84
Norway,2016,
Poland,2016,
Portugal,2016,8.49
Romania,2016,0
Slovakia,2016,
Slovenia,2016,
Spain,2016,4.96
Sweden,2016,12
Turkey,2016,
United Kingdom,2016,
Austria,2015,
Belgium,2015,8.8
Bulgaria,2015,
Croatia,2015,12.6
Cyprus,2015,
Czechia,2015,6.5
Denmark,2015,
Estonia,2015,
Finland,2015,
France,2015,
Germany,2015,10.1
Greece,2015,
Hungary,2015,7.9
Ireland,2015,20
Italy,2015,8.07
Latvia,2015,
Lithuania,2015,11.2
Luxembourg,2015,15.1
Malta,2015,18
Netherlands,2015,4.9
Norway,2015,
Poland,2015,
Portugal,2015,7.41
Romania,2015,
Slovakia,2015,9
Slovenia,2015,
Spain,2015,4.58
Sweden,2015,13
Turkey,2015,
United Kingdom,2015,
Austria,2014,
Belgium,2014,8.7
Bulgaria,2014,
Croatia,2014,11.8
Cyprus,2014,
Czechia,2014,6.8
Denmark,2014,
Estonia,2014,20
Finland,2014,
France,2014,
Germany,2014,9.2
Greece,2014,
Hungary,2014,7.3
Ireland,2014,20
Italy,2014,7.97
Latvia,2014,
Lithuania,2014,10.43
Luxembourg,2014,
Malta,2014,22.5
Netherlands,2014,4.7
Norway,2014,
Poland,2014,9.5
Portugal,2014,6.23
Romania,2014,
Slovakia,2014,10
Slovenia,2014,
Spain,2014,4.68
Sweden,2014,14
Turkey,2014,
United Kingdom,2014,
Austria,2013,
Belgium,2013,8.65
Bulgaria,2013,
Croatia,2013,7.1
Cyprus,2013,
Czechia,2013,7
Denmark,2013,
Estonia,2013,20
Finland,2013,
France,2013,
Germany,2013,9.4
Greece,2013,
Hungary,2013,7.7
Ireland,2013,
Italy,2013,8.49
Latvia,2013,13.91
Lithuania,2013,11
Luxembourg,2013,15
Malta,2013,25
Netherlands,2013,4.5
Norway,2013,
