Country,variable,value
Austria,2018,9.64
Belgium,2018,13.69
Bulgaria,2018,
Croatia,2018,10
Cyprus,2018,16.57
Czechia,2018,9.4
Denmark,2018,
Estonia,2018,15.3
Finland,2018,
France,2018,11.27
Germany,2018,
Greece,2018,
Hungary,2018,8.9
Ireland,2018,
Italy,2018,12
Latvia,2018,
Lithuania,2018,
Luxembourg,2018,11.7
Malta,2018,
Netherlands,2018,3.7
Norway,2018,
Poland,2018,11.82
Portugal,2018,8.1
Romania,2018,
Slovakia,2018,10.3
Slovenia,2018,6.3
Spain,2018,10.67
Sweden,2018,13
Turkey,2018,3.31
United Kingdom,2018,
Austria,2017,9.64
Belgium,2017,11.84
Bulgaria,2017,
Croatia,2017,9.5
Cyprus,2017,
Czechia,2017,10.7426316
Denmark,2017,
Estonia,2017,15
Finland,2017,
France,2017,12.04
Germany,2017,
Greece,2017,
Hungary,2017,8.9
Ireland,2017,
Italy,2017,12
Latvia,2017,
Lithuania,2017,
Luxembourg,2017,12.3
Malta,2017,
Netherlands,2017,6.6
Norway,2017,
Poland,2017,10.56
Portugal,2017,8.3
Romania,2017,14.41
Slovakia,2017,10.8
Slovenia,2017,10.9
Spain,2017,10.09
Sweden,2017,9.4
Turkey,2017,3.31
United Kingdom,2017,
Austria,2016,10.75
Belgium,2016,12.11
Bulgaria,2016,
Croatia,2016,10.7
Cyprus,2016,
Czechia,2016,7.41
Denmark,2016,
Estonia,2016,13.9
Finland,2016,
France,2016,11.4
Germany,2016,
Greece,2016,
Hungary,2016,8.7
Ireland,2016,
Italy,2016,10.8
Latvia,2016,
Lithuania,2016,
Luxembourg,2016,9.92
Malta,2016,
Netherlands,2016,6.9
Norway,2016,
Poland,2016,9.9
Portugal,2016,7.2
Romania,2016,
Slovakia,2016,
Slovenia,2016,17.8
Spain,2016,10.1
Sweden,2016,9.2
Turkey,2016,25.88
United Kingdom,2016,
Austria,2015,9.82
Belgium,2015,21.7
Bulgaria,2015,12.3
Croatia,2015,5.7
Cyprus,2015,
Czechia,2015,8.334
Denmark,2015,
Estonia,2015,13.5
Finland,2015,6.8
France,2015,11.4
Germany,2015,
Greece,2015,
Hungary,2015,6.8
Ireland,2015,
Italy,2015,8.9
Latvia,2015,
Lithuania,2015,
Luxembourg,2015,11.33
Malta,2015,6
Netherlands,2015,5.8
Norway,2015,
Poland,2015,10
Portugal,2015,8.3
Romania,2015,12.76
Slovakia,2015,12.1
Slovenia,2015,7.2
Spain,2015,
Sweden,2015,8.1
Turkey,2015,2.65
United Kingdom,2015,
Austria,2014,8.94
Belgium,2014,13
Bulgaria,2014,13.1
Croatia,2014,8.9
Cyprus,2014,
Czechia,2014,8.181
Denmark,2014,
Estonia,2014,12.7
Finland,2014,2.7
France,2014,13
Germany,2014,
Greece,2014,
Hungary,2014,7.2
Ireland,2014,
Italy,2014,10.5
Latvia,2014,
Lithuania,2014,
Luxembourg,2014,11.22
Malta,2014,7
Netherlands,2014,4.8
Norway,2014,
Poland,2014,11
Portugal,2014,7.8
Romania,2014,15.47
Slovakia,2014,9
Slovenia,2014,8.5
Spain,2014,
Sweden,2014,7.7
Turkey,2014,
United Kingdom,2014,
Austria,2013,9.56
Belgium,2013,10.41
Bulgaria,2013,9.1
Croatia,2013,7.8
Cyprus,2013,
Czechia,2013,9.98
Denmark,2013,
Estonia,2013,13.4
Finland,2013,
France,2013,12.7
Germany,2013,
Greece,2013,
Hungary,2013,6.5
Ireland,2013,
Italy,2013,12.4
Latvia,2013,
Lithuania,2013,
Luxembourg,2013,8.48
Malta,2013,6.75
Netherlands,2013,4.8
Norway,2013,
Poland,2013,9.81
Portugal,2013,6.6
Romania,2013,9.45
Slovakia,2013,7.1
Slovenia,2013,7.5
Spain,2013,10.8
Sweden,2013,
Turkey,2013,3.81
United Kingdom,2013,
Austria,2012,9.71
Belgium,2012,13.17
Bulgaria,2012,3.5
Croatia,2012,6.3
Cyprus,2012,
Czechia,2012,7.1
Denmark,2012,
Estonia,2012,13.4
Finland,2012,
France,2012,10
Germany,2012,
Greece,2012,
Hungary,2012,5
Ireland,2012,
Italy,2012,8.5
Latvia,2012,
Lithuania,2012,
Luxembourg,2012,9.1
Malta,2012,7
Netherlands,2012,5.1
Norway,2012,10.8
Poland,2012,8.69
Portugal,2012,5.4
Romania,2012,6.34
Slovakia,2012,9.2
Slovenia,2012,7
Spain,2012,11
Sweden,2012,
Turkey,2012,3.11
United Kingdom,2012,
Austria,2011,7.02
Belgium,2011,10.7
Bulgaria,2011,3.7
Croatia,2011,5.7
Cyprus,2011,
Czechia,2011,7.2
Denmark,2011,
Estonia,2011,11.1
Finland,2011,4.6
France,2011,10.6
Germany,2011,
Greece,2011,
Hungary,2011,1
Ireland,2011,
Italy,2011,6.4
Latvia,2011,
Lithuania,2011,
Luxembourg,2011,11.28
Malta,2011,7.25
Netherlands,2011,5.7
Norway,2011,6.1
Poland,2011,9.63
Portugal,2011,5.2
