Country,variable,value
Austria,2018,
Belgium,2018,56.01
Bulgaria,2018,
Croatia,2018,65
Cyprus,2018,
Czechia,2018,76.7
Denmark,2018,91
Estonia,2018,
Finland,2018,
France,2018,
Germany,2018,70.3
Greece,2018,85
Hungary,2018,72.9
Ireland,2018,70
Italy,2018,81.3
Latvia,2018,
Lithuania,2018,60
Luxembourg,2018,76.29
Malta,2018,64
Netherlands,2018,49.3
Norway,2018,
Poland,2018,
Portugal,2018,45.68
Romania,2018,
Slovakia,2018,
Slovenia,2018,
Spain,2018,59.21
Sweden,2018,89
Turkey,2018,
United Kingdom,2018,
Austria,2017,
Belgium,2017,52.2
Bulgaria,2017,
Croatia,2017,77.5
Cyprus,2017,
Czechia,2017,77.675363
Denmark,2017,71
Estonia,2017,135
Finland,2017,
France,2017,
Germany,2017,71.6
Greece,2017,85
Hungary,2017,67.9
Ireland,2017,70
Italy,2017,80.95
Latvia,2017,
Lithuania,2017,58
Luxembourg,2017,94.58333
Malta,2017,37.75
Netherlands,2017,49
Norway,2017,102.52
Poland,2017,
Portugal,2017,45.51
Romania,2017,
Slovakia,2017,100
Slovenia,2017,0
Spain,2017,59.29
Sweden,2017,95
Turkey,2017,
United Kingdom,2017,
Austria,2016,
Belgium,2016,60.74
Bulgaria,2016,
Croatia,2016,
Cyprus,2016,
Czechia,2016,70.08
Denmark,2016,71
Estonia,2016,0
Finland,2016,
France,2016,
Germany,2016,75.8
Greece,2016,85
Hungary,2016,65.7
Ireland,2016,70
Italy,2016,78.16
Latvia,2016,
Lithuania,2016,65
Luxembourg,2016,86.78
Malta,2016,56
Netherlands,2016,50
Norway,2016,
Poland,2016,
Portugal,2016,44.45
Romania,2016,0
Slovakia,2016,
Slovenia,2016,
Spain,2016,58.15
Sweden,2016,96
Turkey,2016,
United Kingdom,2016,
Austria,2015,
Belgium,2015,53.5
Bulgaria,2015,
Croatia,2015,78.5
Cyprus,2015,
Czechia,2015,77.5
Denmark,2015,77
Estonia,2015,
Finland,2015,
France,2015,
Germany,2015,73.8
Greece,2015,
Hungary,2015,62.6
Ireland,2015,70
Italy,2015,71.08
Latvia,2015,
Lithuania,2015,77.5
Luxembourg,2015,84.1
Malta,2015,64
Netherlands,2015,50.8
Norway,2015,
Poland,2015,
Portugal,2015,48.63
Romania,2015,
Slovakia,2015,99
Slovenia,2015,
Spain,2015,58.55
Sweden,2015,98
Turkey,2015,
United Kingdom,2015,
Austria,2014,
Belgium,2014,57
Bulgaria,2014,
Croatia,2014,78.9
Cyprus,2014,
Czechia,2014,72
Denmark,2014,78
Estonia,2014,
Finland,2014,
France,2014,
Germany,2014,76.1
Greece,2014,
Hungary,2014,56.7
Ireland,2014,70
Italy,2014,71.11
Latvia,2014,
Lithuania,2014,62.85
Luxembourg,2014,
Malta,2014,68
Netherlands,2014,52.4
Norway,2014,
Poland,2014,46.4
Portugal,2014,47.81
Romania,2014,
Slovakia,2014,91
Slovenia,2014,
Spain,2014,57.57
Sweden,2014,100
Turkey,2014,
United Kingdom,2014,
Austria,2013,
Belgium,2013,52.37
Bulgaria,2013,
Croatia,2013,80.5
Cyprus,2013,
Czechia,2013,62.1
Denmark,2013,
Estonia,2013,
Finland,2013,
France,2013,
Germany,2013,68.7
Greece,2013,
Hungary,2013,56.7
Ireland,2013,
Italy,2013,71.37
Latvia,2013,
Lithuania,2013,63.7
Luxembourg,2013,82
Malta,2013,50
Netherlands,2013,52.4
Norway,2013,
Poland,2013,52
Portugal,2013,47
Romania,2013,
Slovakia,2013,
Slovenia,2013,
Spain,2013,57.45
Sweden,2013,103
Turkey,2013,
United Kingdom,2013,
Austria,2012,
Belgium,2012,55.25
Bulgaria,2012,60
Croatia,2012,79.9
Cyprus,2012,
Czechia,2012,69.7
Denmark,2012,65.8
Estonia,2012,
Finland,2012,
France,2012,70.6
Germany,2012,64.9
Greece,2012,
Hungary,2012,52.3
Ireland,2012,70
Italy,2012,69.91
Latvia,2012,
Lithuania,2012,61.4
Luxembourg,2012,85
Malta,2012,79
Netherlands,2012,54
Norway,2012,95
Poland,2012,
Portugal,2012,48.01
Romania,2012,
Slovakia,2012,
Slovenia,2012,
Spain,2012,58.95
Sweden,2012,105
Turkey,2012,
United Kingdom,2012,
Austria,2011,
Belgium,2011,54.17
Bulgaria,2011,65
Croatia,2011,77
Cyprus,2011,
Czechia,2011,89.8
Denmark,2011,65.8
Estonia,2011,
Finland,2011,
France,2011,74.3
Germany,2011,65.7
Greece,2011,
Hungary,2011,55.9
Ireland,2011,
Italy,2011,67.83
Latvia,2011,
Lithuania,2011,60.24
Luxembourg,2011,85.3
Malta,2011,63.78
Netherlands,2011,52
Norway,2011,
Poland,2011,
Portugal,2011,50.07
Romania,2011,
Slovakia,2011,80
Slovenia,2011,
Spain,2011,58.92
Sweden,2011,98
Turkey,2011,
United Kingdom,2011,
Austria,2010,
Belgium,2010,50.12
Bulgaria,2010,
Croatia,2010,77.6
Cyprus,2010,
Czechia,2010,79.08
Denmark,2010,65.8
Estonia,2010,
Finland,2010,
France,2010,
Germany,2010,65.6
Greece,2010,
Hungary,2010,51.7
Ireland,2010,
Italy,2010,69.16
Latvia,2010,
Lithuania,2010,59.37
Luxembourg,2010,143.7
Malta,2010,80
Netherlands,2010,45
Norway,2010,
Poland,2010,
Portugal,2010,46
Romania,2010,
Slovakia,2010,51
Slovenia,2010,65
Spain,2010,59.98
Sweden,2010,94.8
Turkey,2010,59
United Kingdom,2010,46.66
Austria,2009,
Belgium,2009,50.86
Bulgaria,2009,70
Croatia,2009,50
Cyprus,2009,
