Country,variable,value
Austria,2018,51.37
Belgium,2018,72.25
Bulgaria,2018,51.4
Croatia,2018,60
Cyprus,2018,63.65
Czechia,2018,32.8
Denmark,2018,61
Estonia,2018,52
Finland,2018,55
France,2018,66.6
Germany,2018,77
Greece,2018,67.1
Hungary,2018,57.5
Ireland,2018,
Italy,2018,68
Latvia,2018,54.59
Lithuania,2018,44.1
Luxembourg,2018,52.7
Malta,2018,
Netherlands,2018,65.4
Norway,2018,61
Poland,2018,
Portugal,2018,50.1
Romania,2018,39.3
Slovakia,2018,55.4
Slovenia,2018,59.1
Spain,2018,43.5
Sweden,2018,57
Turkey,2018,62.55
United Kingdom,2018,63
Austria,2017,51.37
Belgium,2017,74.3
Bulgaria,2017,53.7
Croatia,2017,59.4
Cyprus,2017,43.29
Czechia,2017,49.088919
Denmark,2017,60.4
Estonia,2017,54
Finland,2017,52
France,2017,62.96
Germany,2017,78.4
Greece,2017,52.7
Hungary,2017,56
Ireland,2017,
Italy,2017,68
Latvia,2017,52.52
Lithuania,2017,42.7
Luxembourg,2017,48.4
Malta,2017,
Netherlands,2017,68.3
Norway,2017,53
Poland,2017,
Portugal,2017,43.9
Romania,2017,34.74
Slovakia,2017,65.6
Slovenia,2017,69.7
Spain,2017,43.5
Sweden,2017,58
Turkey,2017,58.229
United Kingdom,2017,60
Austria,2016,45.93
Belgium,2016,68.86
Bulgaria,2016,47.5
Croatia,2016,52.8
Cyprus,2016,
Czechia,2016,
Denmark,2016,55
Estonia,2016,46.4
Finland,2016,49
France,2016,58.3
Germany,2016,74.1
Greece,2016,75
Hungary,2016,53.4
Ireland,2016,
Italy,2016,66
Latvia,2016,51.64
Lithuania,2016,46.1
Luxembourg,2016,44.435
Malta,2016,
Netherlands,2016,66.8
Norway,2016,47
Poland,2016,
Portugal,2016,40.3
Romania,2016,40.69
Slovakia,2016,49.9
Slovenia,2016,69.7
Spain,2016,39.5
Sweden,2016,52
Turkey,2016,65.56
United Kingdom,2016,54
Austria,2015,33.37
Belgium,2015,78.2
Bulgaria,2015,47.7
Croatia,2015,47.3
Cyprus,2015,
Czechia,2015,39.1
Denmark,2015,37
Estonia,2015,35
Finland,2015,33
France,2015,55.2
Germany,2015,
Greece,2015,72
Hungary,2015,50
Ireland,2015,43.2
Italy,2015,50
Latvia,2015,40
Lithuania,2015,44
Luxembourg,2015,41.63
Malta,2015,15
Netherlands,2015,64
Norway,2015,32
Poland,2015,
Portugal,2015,34.6
Romania,2015,34.3
Slovakia,2015,51.5
Slovenia,2015,54.6
Spain,2015,42
Sweden,2015,39.3
Turkey,2015,59.27
United Kingdom,2015,44
Austria,2014,31.6
Belgium,2014,64.2
Bulgaria,2014,35.8
Croatia,2014,39.1
Cyprus,2014,
Czechia,2014,25.9
Denmark,2014,30
Estonia,2014,39
Finland,2014,27
France,2014,51.9
Germany,2014,
Greece,2014,51.2
Hungary,2014,40
Ireland,2014,41.9
Italy,2014,55
Latvia,2014,37
Lithuania,2014,38
Luxembourg,2014,38.1
Malta,2014,
Netherlands,2014,59.1
Norway,2014,33
Poland,2014,
Portugal,2014,40.1
Romania,2014,33.45
Slovakia,2014,39
Slovenia,2014,49.8
Spain,2014,41
Sweden,2014,43
Turkey,2014,56.84
United Kingdom,2014,36
Austria,2013,26.05
Belgium,2013,57.61
Bulgaria,2013,30.5
Croatia,2013,34.8
Cyprus,2013,
Czechia,2013,33.02
Denmark,2013,29
Estonia,2013,41
Finland,2013,42
France,2013,55.7
Germany,2013,
Greece,2013,75
Hungary,2013,44
Ireland,2013,36.1
Italy,2013,59.8
Latvia,2013,30
Lithuania,2013,43
Luxembourg,2013,41
Malta,2013,20
Netherlands,2013,61.3
Norway,2013,34
Poland,2013,
Portugal,2013,37.3
Romania,2013,41.23
Slovakia,2013,35.4
Slovenia,2013,51.4
Spain,2013,39
Sweden,2013,31
Turkey,2013,59.05
United Kingdom,2013,38
Austria,2012,28.07
Belgium,2012,59.16
Bulgaria,2012,24.8
Croatia,2012,29.6
Cyprus,2012,
Czechia,2012,36.9
Denmark,2012,24
Estonia,2012,46
Finland,2012,32
France,2012,49
Germany,2012,
Greece,2012,59
Hungary,2012,41
Ireland,2012,
Italy,2012,50.2
Latvia,2012,42
Lithuania,2012,38
Luxembourg,2012,44.45
Malta,2012,15.5
Netherlands,2012,58.3
Norway,2012,33
Poland,2012,
Portugal,2012,32.8
Romania,2012,36.07
Slovakia,2012,35.9
Slovenia,2012,43.1
Spain,2012,42.5
Sweden,2012,34
Turkey,2012,57.65
United Kingdom,2012,36.8
Austria,2011,27.52
Belgium,2011,56.1
Bulgaria,2011,21.9
Croatia,2011,27
Cyprus,2011,
Czechia,2011,45.04
Denmark,2011,22
Estonia,2011,33
Finland,2011,30
France,2011,45
Germany,2011,
Greece,2011,61.1
Hungary,2011,50
Ireland,2011,
Italy,2011,47
Latvia,2011,29
Lithuania,2011,26
Luxembourg,2011,46.74
Malta,2011,35.5
Netherlands,2011,49.2
Norway,2011,31
Poland,2011,
Portugal,2011,33.7
Romania,2011,51.86
Slovakia,2011,46.74
Slovenia,2011,31.6
Spain,2011,42
Sweden,2011,29
Turkey,2011,58.7
United Kingdom,2011,26.2
Austria,2010,27.3
Belgium,2010,55.1
Bulgaria,2010,27.2
Croatia,2010,28.8
Cyprus,2010,
Czechia,2010,27.9
