Country,Year,Sample size,Males,Females,Total,
Austria,2015,3477,0.4,0.3,0.4,
Belgium,2018,3954,2.2,0.5,1.4,
Bulgaria,2016,3996,0.4,0.2,0.3,
Croatia,2015,4959,1.2,0.4,0.8,
Cyprus,2016,3500,0.4,0,0.2,
Czechia,2018,1665,0.1,0.1,0.1,
Denmark,2017,10196,2.6,0.7,1.6,
Estonia,2018,2234,1.3,0.8,1,
Finland,2018,2957,1.4,0.5,0.9,
France,2017,20665,2.3,0.9,1.6,
Germany,2018,9267,1.4,0.8,1.1,
Greece,2015,1519,0.5,0.3,0.4,
Hungary,2015,2274,0.5,0.1,0.3,
Ireland,2015,,2.6,0.5,1.5,
Italy,2017,10502,1.5,0.9,1.2,
Latvia,2015,4513,0.8,0.3,0.5,
Lithuania,2016,4794,0.3,0,0.1,
Luxembourg,2014,3344,,,0.4,
Malta,,,,,,
Netherlands,2018,6471,2.7,1.3,2,
Norway,2018,1910,2.1,0.2,1.2,
Poland,2018,3013,0.3,0.2,0.3,
Portugal,2016,9632,0.3,0.1,0.2,
Romania,2016,7200,0.2,0.2,0.2,
Slovakia,2015,8029,0.3,0,0.1,
Slovenia,2018,9161,1,0.5,0.8,
Spain,2017,21249,3.4,1,2.2,
Sweden,2017,7990,1.7,0.6,1.2,
Turkey,2017,,0.1,,0.1,
United Kingdom,2018,23072,3.8,1.6,2.7,
,,,,,,
