sex,location,year,unemployment
F,AT,2019,4.4
F,BE,2019,4.9
F,BG,2019,3.9
F,CH,2019,4.7
F,CY,2019,8
F,CZ,2019,2.4
F,DE,2019,2.7
F,DK,2019,5.3
F,EE,2019,4.8
F,EL,2019,21.5
F,ES,2019,16
F,FI,2019,6.2
F,FR,2019,8.4
F,HR,2019,7.2
F,HU,2019,3.5
F,IE,2019,4.7
F,IS,2019,3.1
F,IT,2019,11.1
F,LT,2019,5.5
F,LU,2019,5.5
F,LV,2019,5.4
F,ME,2019,15.7
F,MK,2019,18.4
F,MT,2019,3.6
F,NL,2019,3.4
F,NO,2019,3.4
F,PL,2019,3.6
F,PT,2019,7.2
F,RO,2019,3.4
F,RS,2019,11.2
F,SE,2019,7
F,SI,2019,5
F,SK,2019,6
F,TR,2019,16.5
F,UK,2019,3.5
M,AT,2019,4.6
M,BE,2019,5.7
M,BG,2019,4.5
M,CH,2019,4.1
M,CY,2019,6.3
M,CZ,2019,1.7
M,DE,2019,3.5
M,DK,2019,4.8
M,EE,2019,4.1
M,EL,2019,14
M,ES,2019,12.5
M,FI,2019,7.2
M,FR,2019,8.6
M,HR,2019,6.2
M,HU,2019,3.4
M,IE,2019,5.2
M,IS,2019,3.8
M,IT,2019,9.1
M,LT,2019,7.1
M,LU,2019,5.7
M,LV,2019,7.2
M,ME,2019,14.7
M,MK,2019,16.5
M,MT,2019,3.3
M,NL,2019,3.4
M,NO,2019,3.9
M,PL,2019,3
M,PT,2019,5.9
M,RO,2019,4.3
M,RS,2019,10
M,SE,2019,6.7
M,SI,2019,4
M,SK,2019,5.6
M,TR,2019,12.4
M,UK,2019,3.9
T,AT,2019,4.5
T,BE,2019,5.4
T,BG,2019,4.2
T,CH,2019,4.4
T,CY,2019,7.1
T,CZ,2019,2
T,DE,2019,3.1
T,DK,2019,5
T,EE,2019,4.4
T,EL,2019,17.3
T,ES,2019,14.1
T,FI,2019,6.7
T,FR,2019,8.5
T,HR,2019,6.6
T,HU,2019,3.4
T,IE,2019,5
T,IS,2019,3.5
T,IT,2019,10
T,LT,2019,6.3
T,LU,2019,5.6
T,LV,2019,6.3
T,ME,2019,15.2
T,MK,2019,17.3
T,MT,2019,3.4
T,NL,2019,3.4
T,NO,2019,3.7
T,PL,2019,3.3
T,PT,2019,6.5
T,RO,2019,3.9
T,RS,2019,10.5
T,SE,2019,6.8
T,SI,2019,4.5
T,SK,2019,5.8
T,TR,2019,13.7
T,UK,2019,3.8
F,AT,2018,4.7
F,BE,2018,5.6
F,BG,2018,4.7
F,CH,2018,5.1
F,CY,2018,8.8
F,CZ,2018,2.8
F,DE,2018,2.9
F,DK,2018,5.3
F,EE,2018,5.3
F,EL,2018,24.2
F,ES,2018,17
F,FI,2018,7.3
F,FR,2018,9.1
F,HR,2018,9.4
F,HU,2018,4
F,IE,2018,5.7
F,IS,2018,2.5
F,IT,2018,11.8
F,LT,2018,5.4
F,LU,2018,5.9
F,LV,2018,6.4
F,ME,2018,15.1
F,MK,2018,19.9
F,MT,2018,3.5
F,NL,2018,4
F,NO,2018,3.5
F,PL,2018,3.9
F,PT,2018,7.5
F,RO,2018,3.5
F,RS,2018,13.8
F,SE,2018,6.2
F,SI,2018,5.7
F,SK,2018,7
F,TR,2018,13.8
F,UK,2018,4
M,AT,2018,5
M,BE,2018,6.3
M,BG,2018,5.7
M,CH,2018,4.4
M,CY,2018,8.1
M,CZ,2018,1.8
M,DE,2018,3.8
M,DK,2018,4.9
M,EE,2018,5.4
M,EL,2018,15.4
M,ES,2018,13.7
M,FI,2018,7.4
M,FR,2018,9.1
M,HR,2018,7.7
M,HU,2018,3.5
M,IE,2018,5.8
M,IS,2018,2.8
M,IT,2018,9.8
M,LT,2018,6.9
M,LU,2018,5.3
M,LV,2018,8.4
M,ME,2018,15.3
M,MK,2018,21.3
M,MT,2018,3.8
M,NL,2018,3.7
M,NO,2018,4
M,PL,2018,3.9
M,PT,2018,6.7
M,RO,2018,4.7
M,RS,2018,12.1
M,SE,2018,6.5
M,SI,2018,4.6
M,SK,2018,6.1
M,TR,2018,9.6
M,UK,2018,4.1
T,AT,2018,4.9
T,BE,2018,6
T,BG,2018,5.2
T,CH,2018,4.7
T,CY,2018,8.4
T,CZ,2018,2.2
T,DE,2018,3.4
T,DK,2018,5.1
T,EE,2018,5.4
T,EL,2018,19.3
T,ES,2018,15.3
T,FI,2018,7.4
T,FR,2018,9.1
T,HR,2018,8.5
T,HU,2018,3.7
T,IE,2018,5.8
T,IS,2018,2.7
T,IT,2018,10.6
T,LT,2018,6.2
T,LU,2018,5.6
T,LV,2018,7.4
T,ME,2018,15.2
T,MK,2018,20.8
T,MT,2018,3.7
T,NL,2018,3.8
T,NO,2018,3.8
T,PL,2018,3.9
T,PT,2018,7.1
T,RO,2018,4.2
T,RS,2018,12.8
T,SE,2018,6.4
T,SI,2018,5.1
T,SK,2018,6.5
T,TR,2018,10.9
T,UK,2018,4
F,AT,2017,5
F,BE,2017,7.1
F,BG,2017,6
F,CH,2017,5.1
F,CY,2017,11.3
F,CZ,2017,3.6
F,DE,2017,3.3
F,DK,2017,6.1
F,EE,2017,5.3
F,EL,2017,26.1
F,ES,2017,19
F,FI,2017,8.4
F,FR,2017,9.4
F,HR,2017,11.9
F,HU,2017,4.6
F,IE,2017,6.3
F,IS,2017,2.7
F,IT,2017,12.4
F,LT,2017,5.7
F,LU,2017,5.5
F,LV,2017,7.7
F,ME,2017,17
F,MK,2017,21.8
F,MT,2017,4.3
F,NL,2017,5.3
F,NO,2017,3.7
F,PL,2017,4.9
F,PT,2017,9.4
F,RO,2017,4
F,RS,2017,14.4
F,SE,2017,6.4
F,SI,2017,7.5
F,SK,2017,8.4
F,TR,2017,13.9
F,UK,2017,4.2
M,AT,2017,5.9
M,BE,2017,7.1
M,BG,2017,6.4
M,CH,2017,4.6
M,CY,2017,10.9
M,CZ,2017,2.3
M,DE,2017,4.1
M,DK,2017,5.6
M,EE,2017,6.2
M,EL,2017,17.8
M,ES,2017,15.7
M,FI,2017,8.9
M,FR,2017,9.5
M,HR,2017,10.6
M,HU,2017,3.8
M,IE,2017,7.1
M,IS,2017,2.8
M,IT,2017,10.4
M,LT,2017,8.6
M,LU,2017,5.6
M,LV,2017,9.8
M,ME,2017,15.4
M,MK,2017,22.8
M,MT,2017,3.8
M,NL,2017,4.5
M,NO,2017,4.6
M,PL,2017,4.9
M,PT,2017,8.5
M,RO,2017,5.6
M,RS,2017,13
M,SE,2017,7
M,SI,2017,5.8
M,SK,2017,7.9
M,TR,2017,9.4
M,UK,2017,4.5
T,AT,2017,5.5
T,BE,2017,7.1
T,BG,2017,6.2
T,CH,2017,4.8
T,CY,2017,11.1
T,CZ,2017,2.9
T,DE,2017,3.8
T,DK,2017,5.8
T,EE,2017,5.8
T,EL,2017,21.5
T,ES,2017,17.2
T,FI,2017,8.6
T,FR,2017,9.5
T,HR,2017,11.2
T,HU,2017,4.2
T,IE,2017,6.7
T,IS,2017,2.7
T,IT,2017,11.2
T,LT,2017,7.1
T,LU,2017,5.5
T,LV,2017,8.7
T,ME,2017,16.1
T,MK,2017,22.4
T,MT,2017,4
T,NL,2017,4.9
T,NO,2017,4.2
T,PL,2017,4.9
T,PT,2017,9
T,RO,2017,4.9
T,RS,2017,13.6
T,SE,2017,6.7
T,SI,2017,6.6
T,SK,2017,8.1
T,TR,2017,10.9
T,UK,2017,4.3
F,AT,2016,5.6
F,BE,2016,7.6
F,BG,2016,7
F,CH,2016,5
F,CY,2016,13.4
F,CZ,2016,4.7
F,DE,2016,3.8
F,DK,2016,6.4
F,EE,2016,6.1
F,EL,2016,28.1
F,ES,2016,21.4
F,FI,2016,8.6
F,FR,2016,9.9
F,HR,2016,13.8
F,HU,2016,5.1
F,IE,2016,7.6
F,IS,2016,3
F,IT,2016,12.8
F,LT,2016,6.7
F,LU,2016,6.6
F,LV,2016,8.4
F,ME,2016,17.1
F,MK,2016,22.8
F,MT,2016,5.2
F,NL,2016,6.5
F,NO,2016,3.9
F,PL,2016,6.2
F,PT,2016,11.3
F,RO,2016,5
F,RS,2016,16.2
F,SE,2016,6.6
F,SI,2016,8.6
F,SK,2016,10.8
F,TR,2016,13.7
F,UK,2016,4.7
M,AT,2016,6.5
M,BE,2016,8.1
M,BG,2016,8.1
M,CH,2016,4.9
M,CY,2016,12.7
M,CZ,2016,3.4
M,DE,2016,4.5
M,DK,2016,5.6
M,EE,2016,7.4
M,EL,2016,19.9
M,ES,2016,18.1
M,FI,2016,9
M,FR,2016,10.3
M,HR,2016,12.5
M,HU,2016,5.1
M,IE,2016,9.1
M,IS,2016,2.9
M,IT,2016,10.9
M,LT,2016,9.1
