FIPS Code,State,Area name,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
31001,NE,Adams County,"2,051","5,718","7,564","5,081",10.0,28.0,37.1,24.9
31003,NE,Antelope County,334,"1,458","1,782",844,7.6,33.0,40.3,19.1
31005,NE,Arthur County,16,74,112,78,5.7,26.4,40.0,27.9
31007,NE,Banner County,15,150,242,106,2.9,29.2,47.2,20.7
31009,NE,Blaine County,13,112,147,80,3.7,31.8,41.8,22.7
31011,NE,Boone County,214,"1,262","1,443",756,5.8,34.3,39.3,20.6
31013,NE,Box Butte County,621,"2,523","3,001","1,363",8.3,33.6,40.0,18.2
31015,NE,Boyd County,82,629,522,275,5.4,41.7,34.6,18.2
31017,NE,Brown County,180,918,709,445,8.0,40.8,31.5,19.8
31019,NE,Buffalo County,"2,090","7,469","10,039","10,437",7.0,24.9,33.4,34.7
31021,NE,Burt County,444,"1,720","1,640",841,9.6,37.0,35.3,18.1
31023,NE,Butler County,438,"2,100","1,926","1,108",7.9,37.7,34.6,19.9
31025,NE,Cass County,896,"5,272","6,612","4,824",5.1,29.9,37.6,27.4
31027,NE,Cedar County,428,"2,025","2,177","1,115",7.4,35.2,37.9,19.4
31029,NE,Chase County,307,679,"1,148",560,11.4,25.2,42.6,20.8
31031,NE,Cherry County,364,"1,360","1,558",883,8.7,32.7,37.4,21.2
31033,NE,Cheyenne County,457,"1,927","2,640","1,783",6.7,28.3,38.8,26.2
31035,NE,Clay County,396,"1,390","1,680",779,9.3,32.7,39.6,18.4
31037,NE,Colfax County,"1,971","1,958","1,728",963,29.8,29.6,26.1,14.5
31039,NE,Cuming County,771,"2,205","1,713","1,419",12.6,36.1,28.0,23.2
31041,NE,Custer County,536,"2,386","3,025","1,570",7.1,31.7,40.2,20.9
31043,NE,Dakota County,"3,156","4,524","3,183","1,555",25.4,36.4,25.6,12.5
31045,NE,Dawes County,255,"1,286","1,849","1,987",4.7,23.9,34.4,37.0
31047,NE,Dawson County,"3,384","4,906","4,631","2,397",22.1,32.0,30.2,15.6
31049,NE,Deuel County,141,462,562,219,10.2,33.4,40.6,15.8
31051,NE,Dixon County,444,"1,410","1,238",798,11.4,36.2,31.8,20.5
31053,NE,Dodge County,"2,626","8,926","8,482","4,563",10.7,36.3,34.5,18.6
31055,NE,Douglas County,"35,961","76,856","107,561","140,449",10.0,21.3,29.8,38.9
