FIPStxt,Stabr,area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013, Civilian_labor_force_2019 , Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
31001,NE,"Adams County, NE",4,5,0,"16,792","16,262",530,3.2,"55,167",92.4
31003,NE,"Antelope County, NE",9,10,0,"3,558","3,467",91,2.6,"55,371",92.7
31005,NE,"Arthur County, NE",9,10,0,224,212,12,5.4,"46,862",78.5
31007,NE,"Banner County, NE",9,8,0,377,363,14,3.7,"53,865",90.2
31009,NE,"Blaine County, NE",9,10,0,259,246,13,5.0,"44,467",74.5
31011,NE,"Boone County, NE",9,10,0,"2,963","2,882",81,2.7,"51,911",86.9
31013,NE,"Box Butte County, NE",7,11,0,"5,419","5,247",172,3.2,"57,952",97.0
31015,NE,"Boyd County, NE",9,12,0,"1,078","1,042",36,3.3,"42,431",71.0
31017,NE,"Brown County, NE",9,12,0,"1,393","1,344",49,3.5,"46,191",77.3
31019,NE,"Buffalo County, NE",4,5,0,"27,777","27,048",729,2.6,"59,193",99.1
31021,NE,"Burt County, NE",8,7,0,"3,483","3,366",117,3.4,"57,548",96.4
31023,NE,"Butler County, NE",6,6,0,"4,591","4,472",119,2.6,"57,208",95.8
31025,NE,"Cass County, NE",2,2,1,"13,570","13,117",453,3.3,"75,177",125.9
31027,NE,"Cedar County, NE",9,10,0,"4,515","4,402",113,2.5,"64,570",108.1
31029,NE,"Chase County, NE",9,12,0,"2,277","2,225",52,2.3,"54,866",91.9
31031,NE,"Cherry County, NE",7,11,0,"3,389","3,308",81,2.4,"49,782",83.4
31033,NE,"Cheyenne County, NE",7,11,0,"4,416","4,253",163,3.7,"53,132",89.0
31035,NE,"Clay County, NE",8,7,0,"3,298","3,192",106,3.2,"56,259",94.2
31037,NE,"Colfax County, NE",7,9,0,"5,581","5,429",152,2.7,"55,787",93.4
31039,NE,"Cuming County, NE",7,9,0,"4,696","4,571",125,2.7,"59,219",99.2
31041,NE,"Custer County, NE",7,9,0,"6,416","6,261",155,2.4,"49,995",83.7
31043,NE,"Dakota County, NE",3,2,1,"10,791","10,369",422,3.9,"55,522",93.0
31045,NE,"Dawes County, NE",7,11,0,"4,978","4,832",146,2.9,"47,487",79.5
31047,NE,"Dawson County, NE",7,8,0,"13,056","12,667",389,3.0,"56,818",95.1
31049,NE,"Deuel County, NE",9,12,0,957,929,28,2.9,"47,097",78.9
31051,NE,"Dixon County, NE",3,2,1,"3,034","2,941",93,3.1,"54,635",91.5
31053,NE,"Dodge County, NE",4,5,0,"19,501","18,931",570,2.9,"51,682",86.5
31055,NE,"Douglas County, NE",2,2,1,"299,587","289,816","9,771",3.3,"64,580",108.1
31057,NE,"Dundy County, NE",9,12,0,"1,171","1,141",30,2.6,"48,574",81.3
31059,NE,"Fillmore County, NE",8,7,0,"3,162","3,080",82,2.6,"56,697",94.9
31061,NE,"Franklin County, NE",9,10,0,"1,459","1,409",50,3.4,"48,778",81.7
31063,NE,"Frontier County, NE",9,10,0,"1,613","1,560",53,3.3,"43,650",73.1
31065,NE,"Furnas County, NE",9,12,0,"2,583","2,511",72,2.8,"49,685",83.2
31067,NE,"Gage County, NE",6,5,0,"11,010","10,619",391,3.6,"49,931",83.6
31069,NE,"Garden County, NE",9,12,0,"1,103","1,071",32,2.9,"39,192",65.6
31071,NE,"Garfield County, NE",9,12,0,"1,168","1,137",31,2.7,"46,245",77.4
31073,NE,"Gosper County, NE",9,8,0,"1,109","1,080",29,2.6,"59,722",100.0
31075,NE,"Grant County, NE",9,12,0,424,412,12,2.8,"56,724",95.0
31077,NE,"Greeley County, NE",8,7,0,"1,222","1,186",36,2.9,"45,221",75.7
31079,NE,"Hall County, NE",3,2,1,"31,903","30,801","1,102",3.5,"53,792",90.1
31081,NE,"Hamilton County, NE",3,2,1,"4,769","4,624",145,3.0,"60,608",101.5
31083,NE,"Harlan County, NE",9,10,0,"1,796","1,745",51,2.8,"49,321",82.6
31085,NE,"Hayes County, NE",9,10,0,613,598,15,2.4,"47,047",78.8
31087,NE,"Hitchcock County, NE",9,12,0,"1,266","1,223",43,3.4,"43,880",73.5
31089,NE,"Holt County, NE",7,11,0,"5,763","5,613",150,2.6,"55,965",93.7
31091,NE,"Hooker County, NE",9,12,0,417,404,13,3.1,"46,220",77.4
31093,NE,"Howard County, NE",3,2,1,"3,365","3,247",118,3.5,"52,292",87.6
