FIPS*,Name,RUC Code,Poverty Level (All people),Poverty Level (Children 0-17)
31000,Nebraska,,11,12.9
31001,Adams,4,11.8,14.4
31003,Antelope,9,12.6,16.7
31005,Arthur,9,12.9,17.5
31007,Banner,9,12.5,25
31009,Blaine,9,16.2,24.2
31011,Boone,9,9.2,13.1
31013,Box Butte,7,13.7,18.9
31015,Boyd,9,13.9,25.1
31017,Brown,9,12.5,17.1
31019,Buffalo,4,10.7,11.6
31021,Burt,8,10.8,13.8
31023,Butler,6,9.1,10.9
31025,Cass,2,7.4,9.4
31027,Cedar,9,8.7,11.7
31029,Chase,9,9.5,11.6
31031,Cherry,7,12.2,16.3
31033,Cheyenne,7,11.3,14.3
31035,Clay,8,11,14.6
31037,Colfax,7,10.4,12.7
31039,Cuming,7,8.9,11.3
31041,Custer,7,12,15.6
31043,Dakota,3,12.4,18
31045,Dawes,7,17.1,19.2
31047,Dawson,7,12.1,16.3
31049,Deuel,9,11.8,20.2
31051,Dixon,3,9.7,11
31053,Dodge,4,9.8,11.9
31055,Douglas,2,11.6,13.3
31057,Dundy,9,14,21.4
31059,Fillmore,8,8.9,11.8
31061,Franklin,9,13.4,18.4
31063,Frontier,9,14.2,19.3
31065,Furnas,9,12.6,17.6
31067,Gage,6,11.2,13.9
31069,Garden,9,15.1,26.2
31071,Garfield,9,13.1,18.2
31073,Gosper,9,9.1,15.6
31075,Grant,9,10.6,17.9
31077,Greeley,8,12.8,19.2
31079,Hall,3,13,18.4
31081,Hamilton,3,6.5,8.1
31083,Harlan,9,11.1,15.7
31085,Hayes,9,16.2,18.7
31087,Hitchcock,9,15.3,21.1
31089,Holt,7,12.1,16.4
31091,Hooker,9,8.3,12.8
31093,Howard,3,10.2,12.3
31095,Jefferson,7,11.8,15.3
31097,Johnson,8,13.8,13.9
31099,Kearney,7,9.2,12.7
31101,Keith,7,11.9,19.4
31103,Keya Paha,9,18.3,32.5
31105,Kimball,8,12.5,16.6
31107,Knox,9,13.4,17.4
31109,Lancaster,2,12.4,12.7
31111,Lincoln,5,10.1,13.1
31113,Logan,9,9.3,11.7
31115,Loup,9,17.1,28.1
31117,McPherson,9,11.6,16.9
31119,Madison,5,11.7,12.7
31121,Merrick,3,10.7,14.4
31123,Morrill,9,14.5,18.9
31125,Nance,8,11.7,13.9
31127,Nemaha,7,12.7,13.8
31129,Nuckolls,9,11,16.8
31131,Otoe,6,9.4,11.5
31133,Pawnee,9,13.8,21.2
31135,Perkins,9,10.3,11.9
31137,Phelps,7,9.5,11.9
31139,Pierce,9,9.8,11.5
31141,Platte,5,8.5,10.6
31143,Polk,9,8.5,11.8
31145,Red Willow,7,11,14.5
31147,Richardson,7,13,17.8
31149,Rock,9,14.6,23.6
31151,Saline,6,12.4,14.6
31153,Sarpy,2,5.7,6.4
31155,Saunders,2,7.8,8.3
31157,Scotts Bluff,5,14.3,19
31159,Seward,2,7.2,7.3
31161,Sheridan,9,16.5,26.5
31163,Sherman,8,14,21.2
31165,Sioux,9,16.7,26.8
31167,Stanton,9,7.5,10.5
31169,Thayer,9,10.8,14.8
31171,Thomas,9,15,23.4
31173,Thurston,8,23.9,32.7
31175,Valley,9,12.4,16.1
31177,Washington,2,6.9,7
31179,Wayne,6,13.9,9.9
31181,Webster,9,13.2,16.3
31183,Wheeler,9,14,19.6
31185,York,6,9.7,12
