index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
513,FF,2008-04-25,96.5,,,Randy Johnson,408036,116615,,ball,,,,,11,,R,R,L,SD,ARI,B,,,1,2,2008,0.9833333333333332,1.5947766666666667,-1.297,3.191,450260.0,425867.0,408311.0,1,4,Bot,,,,,,,080425_200910,-10.421,-140.136,-4.675,15.407,40.942,-13.359,3.52,1.48,,,,,,,234099,116615,,,,,,,,,,,,,,,,,36,6,4-Seam Fastball,0,5,0,5,5,0,0,5,,
532,FF,2008-08-27,96.4,,,Randy Johnson,435338,116615,strikeout,foul_tip,,,,,2,Tadahito Iguchi strikes out on foul tip.,R,R,L,SD,ARI,S,2.0,,2,2,2008,1.0232741666666667,1.1475766666666665,0.047,3.427,,,,2,7,Bot,,,,,,,080827_145420,-7.371,-140.155,-3.084,16.293,35.079,-19.102,3.442,1.391,,,,,,,235742,116615,,,,,,,,,,,,0.0,,0.0,0.0,,58,7,4-Seam Fastball,3,4,3,4,4,3,3,4,,
943,FF,2008-08-27,95.8,,,Randy Johnson,435338,116615,,foul,,,,,2,,R,R,L,SD,ARI,S,,,2,2,2008,1.1424008333333333,1.41604,-0.081,3.088,,,,2,7,Bot,,,,,,,080827_145325,-8.017,-139.214,-4.45,17.642,36.151,-15.73,3.442,1.391,,,,,,,235742,116615,,,,,,,,,,,,,,,,,58,5,4-Seam Fastball,3,4,3,4,4,3,3,4,,
996,FT,2008-08-12,95.7,,,Randy Johnson,407812,116615,,ball,,,,,11,,R,R,L,COL,ARI,B,,,1,2,2008,1.2382866666666668,1.165923333333333,-0.909,3.727,,,,0,6,Bot,,,,,,,080812_205125,-11.42,-138.883,-3.428,19.227,30.736,-18.92,3.34,1.71,,,,,,,235536,116615,,,,,,,,,,,,,,,,,51,4,2-Seam Fastball,2,4,2,4,4,2,2,4,,
999,FF,2008-04-25,95.7,,,Randy Johnson,114789,116615,,ball,,,,,12,,R,L,L,SD,ARI,B,,,2,2,2008,1.2689033333333333,1.749863333333333,0.359,3.791,,,,2,3,Bot,,,,,,,080425_194729,-6.655,-139.177,-3.946,19.037,41.259,-11.622,3.36,1.57,,,,,,,234099,116615,,,,,,,,,,,,,,,,,25,5,4-Seam Fastball,0,5,0,5,5,0,0,5,,
1001,FT,2008-04-25,95.7,,,Randy Johnson,450260,116615,,foul,,,,,8,,R,R,L,SD,ARI,S,,,2,2,2008,1.5301191666666667,1.29048,-0.202,2.139,,,,1,4,Bot,,,,,,,080425_200324,-8.673,-138.934,-6.742,22.567,40.435,-17.706,3.6,1.56,,,,,,,234099,116615,,,,,,,,,,,,,,,,,33,6,2-Seam Fastball,0,5,0,5,5,0,0,5,,
1007,FF,2008-04-25,95.7,,,Randy Johnson,150116,116615,,ball,,,,,13,,R,L,L,SD,ARI,B,,,1,2,2008,1.1501941666666669,1.3478133333333333,-1.231,2.54,,,,1,3,Bot,,,,,,,080425_194544,-10.161,-138.921,-6.026,17.374,40.822,-16.975,3.761,1.583,,,,,,,234099,116615,,,,,,,,,,,,,,,,,24,4,4-Seam Fastball,0,5,0,5,5,0,0,5,,
1096,FF,2008-08-01,95.6,,,Randy Johnson,407556,116615,,foul,,,,,3,,R,R,L,LAD,ARI,S,,,1,2,2008,1.0519425,1.882016666666667,0.466,2.886,,,425766.0,1,5,Bot,,,,,,,080801_205554,-6.863,-138.96,-6.195,16.3,36.493,-9.577,3.38,1.5,,,,,,,235388,116615,,,,,,,,,,,,,,,,,36,5,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1146,FF,2008-05-06,95.5,,,Randy Johnson,400120,116615,hit_by_pitch,hit_by_pitch,,,,,13,Chris Coste hit by pitch.    Pedro Feliz to 2nd.,R,R,L,ARI,PHI,B,,,0,2,2008,0.7595533333333331,1.4653466666666668,-2.772,1.411,,,150268.0,2,2,Top,,,,,,,080506_190519,-12.079,-138.314,-9.496,12.17,35.81,-15.294,3.19,1.47,,,,,,,234252,116615,,,,,,,,,,,,0.7,,0.0,0.0,,13,4,4-Seam Fastball,1,0,0,1,0,1,0,1,,
1162,FF,2008-08-27,95.5,,,Randy Johnson,450260,116615,,foul,,,,,13,,R,R,L,SD,ARI,S,,,1,2,2008,1.0842291666666668,1.23673,-0.939,2.569,,,,2,1,Bot,,,,,,,080827_124832,-10.141,-138.637,-5.277,16.643,36.737,-18.302,3.636,1.628,,,,,,,235742,116615,,,,,,,,,,,,,,,,,6,4,4-Seam Fastball,0,0,0,0,0,0,0,0,,
