sex,location,year,unemployment,country
F,AT1,2019,6.1,AT
F,AT2,2019,3.8,AT
F,AT3,2019,2.6,AT
F,BE1,2019,12.5,BE
F,BE2,2019,3.1,BE
F,BE3,2019,6,BE
F,BG3,2019,5.7,BG
F,BG4,2019,2.3,BG
F,CH0,2019,4.7,CH
F,CY0,2019,8,CY
F,CZ0,2019,2.4,CZ
F,DE1,2019,2.1,DE
F,DE2,2019,1.9,DE
F,DE3,2019,4.8,DE
F,DE4,2019,2.6,DE
F,DE5,2019,,DE
F,DE6,2019,3.2,DE
F,DE7,2019,2.7,DE
F,DE8,2019,3.5,DE
F,DE9,2019,2.6,DE
F,DEA,2019,2.9,DE
F,DEB,2019,2.4,DE
F,DEC,2019,3.1,DE
F,DED,2019,3.6,DE
F,DEE,2019,4.2,DE
F,DEF,2019,2.3,DE
F,DEG,2019,3.4,DE
F,DK0,2019,5.3,DK
F,EE0,2019,4.8,EE
F,EL3,2019,20.1,EL
F,EL4,2019,17.1,EL
F,EL5,2019,23.7,EL
F,EL6,2019,23.4,EL
F,ES1,2019,13.1,ES
F,ES2,2019,10,ES
F,ES3,2019,11.5,ES
F,ES4,2019,19.1,ES
F,ES5,2019,13.5,ES
F,ES6,2019,24.3,ES
F,ES7,2019,21.9,ES
F,FI1,2019,6.2,FI
F,FI2,2019,,FI
F,FR1,2019,7.6,FR
F,FRB,2019,8.6,FR
F,FRC,2019,8.1,FR
F,FRD,2019,9.5,FR
F,FRE,2019,9.9,FR
F,FRF,2019,7.9,FR
F,FRG,2019,7.9,FR
F,FRH,2019,6.4,FR
F,FRI,2019,8.8,FR
F,FRJ,2019,8.8,FR
F,FRK,2019,7,FR
F,FRL,2019,7.8,FR
F,FRM,2019,,FR
F,FRY,2019,21,FR
F,HR0,2019,7.2,HR
F,HU1,2019,2.7,HU
F,HU2,2019,2.7,HU
F,HU3,2019,4.8,HU
F,IE0,2019,4.7,IE
F,IS0,2019,3.1,IS
F,ITC,2019,8,IT
F,ITF,2019,19.6,IT
F,ITG,2019,20.2,IT
F,ITH,2019,6.9,IT
F,ITI,2019,9.6,IT
F,LT0,2019,5.5,LT
F,LU0,2019,5.5,LU
F,LV0,2019,5.4,LV
F,ME0,2019,15.7,ME
F,MK0,2019,18.4,MK
F,MT0,2019,3.6,MT
F,NL1,2019,3.7,NL
F,NL2,2019,3.3,NL
F,NL3,2019,3.4,NL
F,NL4,2019,3.1,NL
F,NO0,2019,3.4,NO
F,PL2,2019,3,PL
F,PL4,2019,3.1,PL
F,PL5,2019,3.5,PL
F,PL6,2019,4.2,PL
F,PL7,2019,3.7,PL
F,PL8,2019,5.3,PL
F,PL9,2019,2.9,PL
F,PT1,2019,7.2,PT
F,PT2,2019,8.5,PT
F,PT3,2019,7.3,PT
F,RO1,2019,3.3,RO
F,RO2,2019,3.7,RO
F,RO3,2019,3.2,RO
F,RO4,2019,3.3,RO
F,RS1,2019,9.4,RS
F,RS2,2019,13.1,RS
F,SE1,2019,6.5,SE
F,SE2,2019,7.5,SE
F,SE3,2019,6.7,SE
F,SI0,2019,5,SI
F,SK0,2019,6,SK
F,TR1,2019,18.8,TR
F,TR2,2019,13.8,TR
