offense,defense,type,yardsPlay,successPlay,quarter,offensePointsAhead,down,yardsToGo,yardsOwnGoal,shotgunPlay,yardsDrive,playsDrive,driveRushes,drivePasses,resultDrive,week
GB,CHI,RUSH,0.0,0,1,0,1.0,10.0,25.0,0,-10,3,1,2,PUNT,1
GB,CHI,PASS,0.0,0,1,0,1.0,10.0,12.0,1,-7,3,1,2,PUNT,1
CHI,GB,RUSH,4.0,1,1,0,1.0,10.0,64.0,1,16,6,4,1,FG,1
GB,CHI,PASS,0.0,0,1,-3,1.0,10.0,40.0,0,5,3,0,3,PUNT,1
CHI,GB,RUSH,1.0,0,1,3,1.0,10.0,4.0,1,25,7,3,4,PUNT,1
GB,CHI,PASS,47.0,1,2,-3,1.0,10.0,26.0,0,74,4,0,4,TD,1
CHI,GB,PASS,27.0,1,2,-4,1.0,10.0,25.0,1,34,4,1,3,PUNT,1
GB,CHI,PASS,9.0,1,2,4,1.0,10.0,4.0,0,22,8,3,5,PUNT,1
CHI,GB,PASS,9.0,1,2,-4,1.0,10.0,11.0,1,12,5,0,5,PUNT,1
GB,CHI,RUSH,3.0,0,2,4,1.0,10.0,35.0,1,19,6,1,5,PUNT,1
CHI,GB,PASS,3.0,0,2,-4,1.0,10.0,15.0,1,0,3,0,3,PUNT,1
GB,CHI,PASS,16.0,1,2,4,1.0,10.0,33.0,1,16,2,0,2,ENDQ,1
CHI,GB,RUSH,0.0,0,3,-4,1.0,10.0,25.0,0,2,3,1,2,PUNT,1
GB,CHI,RUSH,3.0,0,3,4,1.0,10.0,34.0,0,19,4,1,3,PUNT,1
CHI,GB,RUSH,8.0,1,3,-4,1.0,10.0,10.0,1,9,3,2,1,PUNT,1
GB,CHI,RUSH,0.0,0,3,4,1.0,10.0,42.0,1,-10,3,1,2,PUNT,1
CHI,GB,PASS,22.0,1,3,-4,1.0,10.0,23.0,1,47,6,1,5,DWNS,1
GB,CHI,RUSH,9.0,1,3,4,1.0,10.0,30.0,0,20,7,4,3,PUNT,1
CHI,GB,PASS,0.0,0,4,-4,1.0,10.0,13.0,1,23,6,0,6,PUNT,1
GB,CHI,RUSH,1.0,0,4,4,1.0,10.0,6.0,0,73,10,6,3,FG,1
CHI,GB,PASS,6.0,1,4,-7,1.0,10.0,25.0,1,59,13,0,13,INT,1
GB,CHI,RUSH,5.0,1,4,7,1.0,10.0,20.0,0,7,3,2,1,PUNT,1
CHI,GB,PASS,2.0,0,4,-7,1.0,10.0,14.0,1,-9,4,0,4,DWNS,1
GB,CHI,RUSH,-1.0,0,4,7,1.0,5.0,95.0,0,-2,2,2,0,ENDQ,1
ATL,MIN,PASS,-8.0,0,1,0,1.0,10.0,25.0,0,8,3,2,1,BLPU,1
ATL,MIN,RUSH,4.0,1,1,-7,1.0,10.0,16.0,0,12,3,2,1,INT,1
MIN,ATL,PASS,1.0,0,1,7,1.0,10.0,59.0,0,41,4,2,2,TD,1
ATL,MIN,RUSH,2.0,0,1,-14,1.0,10.0,25.0,0,34,11,3,8,PUNT,1
MIN,ATL,RUSH,3.0,0,1,14,1.0,10.0,8.0,0,24,7,6,1,PUNT,1
ATL,MIN,PASS,14.0,1,2,-14,1.0,10.0,28.0,0,51,4,2,2,FUM,1
MIN,ATL,RUSH,1.0,0,2,14,1.0,10.0,21.0,0,79,10,8,2,TD,1
ATL,MIN,RUSH,16.0,1,2,-21,1.0,10.0,25.0,0,20,7,2,5,PUNT,1
MIN,ATL,RUSH,2.0,0,2,21,1.0,10.0,10.0,1,0,3,3,0,PUNT,1
ATL,MIN,PASS,0.0,0,2,-21,1.0,10.0,45.0,1,36,3,0,3,ENDQ,1
MIN,ATL,RUSH,3.0,0,3,21,1.0,10.0,25.0,0,23,6,4,2,PUNT,1
ATL,MIN,PASS,9.0,1,3,-21,1.0,10.0,15.0,0,82,13,5,8,INT,1
MIN,ATL,PASS,8.0,1,3,21,1.0,10.0,20.0,0,80,6,4,2,TD,1
ATL,MIN,PASS,0.0,0,3,-28,1.0,10.0,23.0,1,0,3,0,3,PUNT,1
MIN,ATL,RUSH,4.0,1,4,28,1.0,10.0,25.0,0,4,3,3,0,PUNT,1
ATL,MIN,PASS,13.0,1,4,-28,1.0,10.0,34.0,1,66,9,1,7,TD,1
